YB,l,b,r,dl,db,dr,hit rate
74,3.315251639,-0.41699331,0.003389407,0.000534073,0.000427759,0.000770589,0.813953488
75,3.349619341,-0.078058481,0.004613673,0.000849402,0.00124944,0.002155693,0.475409836
76,3.393429587,0.879851488,0.00446758,0.000579347,0.000515472,0.00162582,0.791666667
77,3.395180016,0.89407371,0.002935797,0.000636236,0.000570226,0.001521635,0.395833333
78,3.554929253,-0.808051912,0.003456417,0.000364647,0.00049528,0.00112302,0.695652174
79,3.555624765,-0.798866599,0.002550722,0.000258706,0.000445488,0.0009605,0.652173913
80,3.564975768,0.173661713,0.001997355,0.00026157,0.000212296,0.000586501,0.238095238
81,3.579924515,-0.227534776,0.002200066,0.000290336,0.000197536,0.001296162,0.361702128
82,3.644235525,-0.21682119,0.00199652,0.000346871,0.000594811,0.000591305,0.259259259
83,3.649007952,0.088001115,0.002251294,0.000609645,0.000412375,0.000812647,0.512195122
84,3.649621177,-0.126232518,0.001636416,0.000275725,0.000250114,0.000417941,0.215686275
85,3.660843944,-0.113249653,0.003570458,0.000285493,0.000353272,0.001170111,0.75
86,3.689552727,-0.27045263,0.003472455,0.000478678,0.000382449,0.001942875,0.5
87,3.720380205,0.01508827,0.003179962,0.000351513,0.000432251,0.00074764,0.463414634
88,3.741250307,0.022807223,0.002514153,0.000820771,0.000468944,0.00091474,0.170731707
89,3.765597406,0.039270823,0.00287265,0.000443532,0.000453566,0.000857107,0.354166667
90,3.830031796,-0.138432824,0.003327251,0.000316942,0.00031967,0.000548034,0.192307692
91,3.91197972,-0.000527707,0.002708202,0.000360694,0.000485376,0.000948091,0.272727273
92,3.92713793,-0.116284552,0.003964897,0.000502462,0.00133828,0.00091191,0.392857143
93,3.935777002,-0.003676443,0.001587008,0.00025257,0.000111166,0.000536372,0.135135135
94,3.943835694,0.004602282,0.00211336,0.000206288,0.000307637,0.000543086,0.378378378
95,3.960926782,-0.111714875,0.001619673,0.000203819,0.000229651,0.000604611,0.205128205
