YB,YB_long,YB_lat,8umphotom,standard error 8,N8,EX8,12umphotom,standard error 12,N12,EX12,24umphotom,standard error 24,N24,EX24,70umphotom,standard error 70,N70,EX70
ID Number,degree,degree,Jy,error,count,excluded count,Jy,error,count,excluded count,Jy,error,count,excluded count,Jy,error,count,excluded count
1,-0.041432958,0.167050008,1.6835,0.2584,5,0,0.5183,0.1348,5,0,2.0125,0.2389,5,0,16.1253,2.1248,5,0
2,-0.023111213,0.169159859,5.3291,0.091,5,0,0.5604,0.1462,5,0,,,,,95.7994,11.1154,5,0
3,0.040875613,0.020200699,4.9239,0.2331,5,0,,,,,,,,,78.4998,12.6201,5,0
4,0.186036858,-0.611813504,0.3001,0.0397,5,0,0.1202,0.0084,5,0,0.7187,0.0343,5,0,4.8869,0.3475,5,0
5,0.200750902,-0.513360793,0.5169,0.0473,5,0,0.0873,0.0123,5,0,0.2825,0.0328,5,0,14.9728,1.8038,5,0
6,0.209509309,-0.001949522,1.7198,0.1653,5,0,0.2428,0.0504,5,0,,,,,148.8749,14.5872,5,0
7,0.279043238,-0.484630374,9.0421,1.4485,5,0,2.0536,0.4679,5,0,,,,,488.787,72.3315,5,0
8,0.313508954,-0.203541295,11.7224,1.0644,5,0,,,,,,,,,794.7477,48.2303,5,0
9,0.314133033,-0.192718231,17.3574,1.6503,5,0,,,,,,,,,469.3434,66.7898,5,0
10,0.331705943,-0.062484792,5.4743,0.5096,5,0,,,,,,,,,101.3833,17.4194,5,0
11,0.336513676,-0.013365488,10.5537,1.3961,5,0,,,,,,,,,78.9686,18.245,5,0
12,0.381538385,0.016557297,6.3362,0.7576,5,0,,,,,,,,,254.843,30.5534,5,0
13,0.410835395,-0.059523745,1.6156,0.2404,5,0,0.7675,0.1422,5,0,,,,,33.4263,4.3802,5,0
14,0.467861281,-0.675211245,0.4939,0.0424,5,0,0.0877,0.0119,5,0,0.3482,0.0554,5,0,7.6018,1.1471,5,0
15,0.470496721,-0.055056059,5.1246,0.2249,5,0,-0.5742,0.1724,4,0,,,,,89.0679,5.6897,5,0
16,0.479391879,0.073992663,1.1456,0.0419,5,0,1.1233,0.3377,5,0,,,,,55.2493,15.0271,5,0
17,0.489693602,-0.074343193,15.2267,0.6828,5,0,,,,,,,,,190.1514,17.1278,5,0
18,0.503642286,-0.788771411,1.1187,0.1233,5,0,0.256,0.0161,5,0,2.5183,0.0445,5,0,22.0228,0.8551,5,0
19,0.528318062,0.181778051,1.8141,0.1055,5,0,0.8052,0.1517,5,0,,,,,279.1742,18.6853,5,0
20,0.532688594,0.168534616,1.0878,0.1038,5,0,0.2346,0.0298,5,0,3.5436,0.5079,4,0,44.5416,4.6175,5,0
21,0.534372743,-0.082052388,8.6284,0.4986,5,0,,,,,,,,,103.2432,13.5902,5,0
22,0.544797809,-0.84227851,0.9733,0.0911,5,0,0.2114,0.0383,4,0,3.0251,1.8079,2,0,27.1554,9.2795,5,0
23,0.545292155,-0.847688094,1.5303,0.789,5,0,,,,,,,,,1180.2373,738.0364,5,0
24,0.546447128,-0.851175796,4.6512,0.1471,5,0,,,,,,,,,2995.5275,127.4336,5,0
25,0.551001286,-0.85213406,2.6611,0.2258,5,0,,,,,,,,,614.7193,508.279,5,0
26,0.563255078,-0.854075899,9.3273,1.1521,5,0,,,,,,,,,252.1449,28.7167,5,0
27,0.582542191,-0.870940308,3.9446,1.7506,5,0,,,,,,,,,73.477,34.8637,5,0
28,0.591257836,0.049896932,0.3314,0.0438,5,0,0.3355,0.0646,5,0,9.366,1.7546,5,0,19.7794,3.804,5,0
29,0.602098065,-0.050016751,8.7327,0.6679,5,0,,,,,,,,,572.4975,68.3146,5,0
30,0.630839294,-0.027189752,4.2811,0.1828,5,0,1.3023,0.3262,5,0,,,,,251.3973,19.6676,5,0
31,0.640261431,-0.112105302,2.4378,0.1765,5,0,0.7294,0.2063,5,0,,,,,34.7265,5.435,5,0
32,0.65488722,-0.068756682,0.2266,0.0967,5,0,0.1571,0.0419,5,0,1.6146,0.883,4,0,5.2439,2.3598,5,0
33,0.666360945,-0.050347657,0.4087,0.0331,5,0,0.1975,0.0297,5,0,,,,,26.0314,6.1929,5,0
34,0.669359903,-0.035040541,1.3278,0.2088,5,0,0.5174,0.0402,5,0,,,,,6573.5066,471.9864,5,0
35,0.681024796,-0.034553308,0.4822,0.073,5,0,0.1336,0.0258,5,0,3.8132,0.6238,4,0,27.9832,35.7592,5,0
36,0.692672725,-0.045339289,1.1057,0.0262,5,0,0.6885,0.0389,5,0,,,,,245.9286,14.0918,5,0
37,0.697988603,-0.050771984,0.2803,0.0402,5,0,0.5457,0.0913,5,0,,,,,28.6877,12.9646,5,0
38,0.835652994,0.18474578,0.8649,0.0506,5,0,0.228,0.0159,5,0,3.3069,0.1775,5,0,98.5017,2.698,5,0
39,0.88404305,0.054338056,0.3092,0.0645,5,0,0.0711,0.0116,5,0,0.0611,0.0095,5,0,8.1773,0.4614,5,0
40,1.005403724,-0.235483031,0.3113,0.0239,5,0,0.0461,0.0051,5,0,0.7082,0.0925,5,0,37.1651,1.5839,5,0
41,1.049377923,-0.069734324,0.264,0.0431,5,0,0.0399,0.0061,5,0,0.3106,0.0252,5,0,7.6995,0.7532,5,0
42,1.125983211,-0.106474644,21.7263,1.425,5,0,,,,,,,,,904.8726,69.7219,5,0
43,1.12828771,-0.360356185,0.128,0.0064,5,0,0.0097,0.0015,5,0,0.0633,0.0103,5,0,5.8366,0.3702,5,0
44,1.138340057,0.807983763,0.8591,0.0516,5,0,0.6995,0.0627,5,0,6.7915,0.1359,5,0,57.3675,1.4415,5,0
45,1.143067838,-0.27625245,0.1929,0.0084,5,0,0.0346,0.003,5,0,0.0844,0.0055,5,0,2.0552,0.0737,5,0
46,1.329646872,0.15175732,5.8707,2.6456,5,0,2.3328,0.9646,5,0,11.3642,3.924,5,0,128.678,51.3564,5,0
47,1.332022513,0.088246889,1.5185,1.0992,5,0,0.6201,0.3456,5,0,2.7666,0.891,5,0,72.1058,32.7691,5,0
48,1.391253124,0.074623929,0.549,0.0387,5,0,0.1119,0.013,5,0,0.7975,0.0553,5,0,31.35,2.0642,5,0
49,1.396006803,-0.006568036,0.3844,0.0453,5,0,0.0974,0.0133,5,0,1.7419,0.1108,5,0,74.8953,5.0639,5,0
50,1.488544167,-0.199085854,1.5701,0.0916,6,0,0.4685,0.0425,6,0,2.9363,0.1308,6,0,102.8227,7.0791,6,0
51,1.66328647,-0.077360405,0.227,0.0083,5,0,0.0409,0.0106,5,0,0.0687,0.0084,5,0,2.9932,0.4187,5,0
52,1.911844773,-0.272348666,0.3276,0.082,5,0,0.1528,0.0308,5,0,0.2549,0.0384,5,0,12.2337,2.3107,5,0
53,2.084284099,-0.577030864,0.4266,0.0464,5,0,0.15,0.0299,5,0,0.4946,0.0318,5,0,7.2038,1.9716,5,0
54,2.141216406,0.009256721,0.9791,0.0264,5,0,0.3167,0.0289,5,0,5.2158,0.3586,5,0,251.7603,6.2818,5,0
55,2.246406972,-0.674982519,2.1078,0.0622,5,0,0.4923,0.0606,5,0,2.992,0.0389,5,0,38.1898,3.5011,5,0
56,2.255621289,0.231755642,0.5867,0.0333,5,0,0.2396,0.0468,5,0,2.3465,0.6001,5,0,31.0379,1.8431,5,0
57,2.308571783,0.227413056,0.4247,0.0592,5,0,0.4994,0.0769,5,0,,,,,23.1318,0.8268,5,0
58,2.402792243,0.068591367,2.8229,0.1167,5,0,0.9581,0.1228,5,0,,,,,93.6783,3.3274,5,0
59,2.405961455,0.062304577,0.348,0.0677,5,0,0.0978,0.012,5,0,0.9876,0.1718,2,0,10.1226,1.4058,5,0
60,2.44419918,0.130975133,0.3199,0.1857,5,0,0.0964,0.0337,5,0,0.2133,0.0781,5,0,6.1965,1.712,5,0
61,2.502895351,-0.044406174,0.4358,0.0296,5,0,0.0758,0.0123,5,0,0.5743,0.0543,5,0,23.0441,1.7235,5,0
62,2.590061761,0.126997043,1.6206,0.0373,5,0,0.5644,0.1617,5,0,1.6964,0.1171,5,0,0.7644,0.1073,5,0
63,2.61405845,0.133350863,4.0789,0.075,5,0,0.9451,0.1241,5,0,,,,,324.4093,6.9529,5,0
64,2.67676297,0.031424145,0.0929,0.0171,5,0,0.0347,0.0049,5,0,0.1952,0.0199,5,0,3.4026,0.2836,5,0
65,2.683329201,0.137807888,1.6155,0.0659,5,0,0.265,0.0343,5,0,2.8762,0.1566,5,0,51.6563,2.6559,5,0
66,2.699731438,-0.059206487,0.3109,0.0622,5,0,0.0837,0.0106,5,0,0.1283,0.0235,5,0,8.8236,0.7227,5,0
67,2.736494419,-0.081789268,0.2906,0.0472,5,0,0.0871,0.0216,5,0,0.6253,0.0778,5,0,14.1885,3.3755,5,0
68,2.887527785,0.276793425,0.3107,0.0195,5,0,0.0787,0.007,5,0,0.3711,0.0243,5,0,10.6852,0.854,5,0
69,2.893489083,0.023687762,0.8459,0.0389,5,0,0.2975,0.0487,5,0,4.8355,0.4371,5,0,49.5086,5.5141,5,0
70,2.962397653,-0.057400563,1.4868,0.4804,5,0,0.3311,0.1178,5,0,1.8316,0.5211,5,0,53.2504,9.0297,5,0
71,3.207519135,-0.10739046,0.3492,0.0367,5,0,0.0706,0.0207,5,0,0.5441,0.0755,5,0,27.7879,3.0414,5,0
72,3.245422582,-0.089460781,0.4319,0.0419,5,0,0.0689,0.0145,5,0,0.7161,0.0973,5,0,16.3089,0.8746,5,0
73,3.24948384,-0.08490331,0.1852,0.0203,5,0,0.0264,0.0034,5,0,0.3144,0.0301,5,0,10.3276,0.8024,5,0
74,3.315251639,-0.41699331,0.8141,0.0335,5,0,0.1798,0.0118,5,0,0.6384,0.0611,5,0,10.29,0.4749,5,0
75,3.349619341,-0.078058481,5.9886,0.3533,5,0,,,,,,,,,581.4933,34.1241,5,0
76,3.393429587,0.879851488,0.5605,0.0731,5,0,0.156,0.0333,5,0,0.6149,0.0671,5,0,10.7464,2.6615,5,0
77,3.395180016,0.89407371,0.4464,0.0541,5,0,0.1653,0.0263,5,0,0.2531,0.0286,5,0,3.5146,0.4914,5,0
78,3.554929253,-0.808051912,0.8013,0.0579,5,0,0.2139,0.0352,5,0,0.362,0.0433,5,0,9.1764,1.1437,5,0
79,3.555624765,-0.798866599,0.2197,0.025,5,0,0.056,0.0068,5,0,0.0998,0.0117,5,0,2.2474,0.336,5,0
80,3.564975768,0.173661713,0.0981,0.0068,5,0,0.0297,0.0035,5,0,0.0721,0.007,5,0,3.6008,0.1463,5,0
81,3.579924515,-0.227534776,0.1552,0.0289,5,0,0.037,0.0125,5,0,0.1534,0.0246,5,0,3.0348,0.5904,5,0
82,3.644235525,-0.21682119,0.1193,0.0102,5,0,0.0227,0.0021,5,0,0.0668,0.0048,5,0,3.4126,0.1638,5,0
83,3.649007952,0.088001115,0.184,0.0294,5,0,0.0674,0.0076,5,0,0.281,0.0275,5,0,5.8074,0.5154,5,0
84,3.649621177,-0.126232518,0.2138,0.0258,5,0,0.0237,0.0064,5,0,0.3044,0.0936,5,0,17.593,1.5089,5,0
85,3.660843944,-0.113249653,0.6868,0.1167,5,0,0.2979,0.0618,5,0,4.0302,0.5117,5,0,63.519,3.0476,5,0
86,3.689552727,-0.27045263,1.0386,0.0877,5,0,0.2652,0.0239,5,0,1.0454,0.013,5,0,15.1524,0.2789,5,0
87,3.720380205,0.01508827,1.2625,0.1126,5,0,0.4278,0.0399,5,0,3.8981,0.2017,5,0,64.636,3.0999,5,0
88,3.741250307,0.022807223,0.347,0.046,5,0,0.1062,0.012,5,0,0.5386,0.0233,5,0,14.8088,2.059,5,0
89,3.765597406,0.039270823,0.1914,0.0352,5,0,0.0778,0.0151,5,0,0.2849,0.0406,5,0,8.3864,0.9625,5,0
90,3.830031796,-0.138432824,1.1849,0.0551,5,0,0.3297,0.0148,5,0,6.0005,0.2173,5,0,17.9728,0.618,5,0
91,3.91197972,-0.000527707,1.2758,0.0632,5,0,0.423,0.0362,5,0,6.6284,0.2042,5,0,214.0387,8.7361,5,0
92,3.92713793,-0.116284552,1.1868,0.139,5,0,0.9874,0.0733,5,0,,,,,57.9838,4.6965,5,0
93,3.935777002,-0.003676443,1.0519,0.2475,5,0,0.3411,0.126,5,0,1.7859,0.5621,5,0,26.2472,5.1883,5,0
94,3.943835694,0.004602282,0.6169,0.011,5,0,0.2072,0.0375,5,0,0.7528,0.0788,5,0,7.264,0.4014,5,0
95,3.960926782,-0.111714875,0.1796,0.0089,5,0,0.0329,0.0071,5,0,0.1524,0.0163,5,0,5.5018,0.1531,5,0
96,4.000051471,0.337639313,6.5932,0.7452,5,0,2.0602,0.3042,5,0,,,,,158.2781,16.1857,5,0
97,4.014450999,-0.034105823,1.1337,0.0227,5,0,0.082,0.008,5,0,,,,,9.6395,1.4705,5,0
98,4.144971064,-1.032935219,0.1016,0.0298,5,0,0.0321,0.0062,5,0,0.0571,0.0049,5,0,-0.1353,0.0899,5,0
99,4.166939914,-0.187173142,0.239,0.0199,5,0,0.05,0.0106,5,0,0.1225,0.0153,5,0,6.8563,0.6134,5,0
100,4.195249064,-0.051305843,1.7582,0.1965,5,0,0.5044,0.088,5,0,2.3102,0.2337,5,0,62.0914,3.4221,5,0
101,4.201830305,-0.028413637,0.4361,0.1084,5,0,0.148,0.0676,5,0,0.3545,0.1092,5,0,15.2774,5.5088,5,0
102,4.2851269,0.03249735,0.3182,0.0319,5,0,0.1049,0.0242,5,0,0.6329,0.1116,5,0,14.5943,1.7196,5,0
103,4.332963268,-0.195332813,0.1862,0.0254,5,0,0.0182,0.0079,5,0,0.0706,0.0157,5,0,4.9376,0.693,5,0
104,4.389266461,-0.358680289,0.2631,0.02,5,0,0.0716,0.0093,5,0,0.1818,0.0151,5,0,6.3291,0.3315,5,0
105,4.400519656,-0.332653644,0.4372,0.0055,5,0,0.1588,0.0296,5,0,0.1877,0.0203,5,0,0.1062,0.0307,5,0
106,4.402762393,-0.358423829,0.3012,0.0616,5,0,0.0973,0.0154,5,0,0.2327,0.0271,5,0,7.2799,0.2881,5,0
107,4.415523985,0.125639033,0.6013,0.0718,5,0,0.7283,0.4299,5,0,,,,,63.1078,7.3305,5,0
108,4.493305264,-0.949898386,0.3413,0.0127,5,0,0.0912,0.0212,5,0,0.0913,0.0039,5,0,0.9681,0.5582,5,0
109,4.499263932,-0.949862011,0.1776,0.0091,5,0,0.0437,0.0079,5,0,0.272,0.0223,5,0,0.4618,0.1854,5,0
110,4.53312522,0.3614807,1.0082,0.116,5,0,0.3187,0.0345,5,0,0.5475,0.0393,5,0,12.6338,1.2917,5,0
111,4.564817992,-0.129521848,5.2329,0.0377,5,0,0.6577,0.1675,5,0,4.5653,0.5297,5,0,2.1307,0.2795,5,0
112,4.610319405,0.179272841,0.3166,0.0772,5,0,0.0529,0.0118,5,0,0.1857,0.0391,5,0,7.9348,1.0646,5,0
113,4.716393147,-0.011474385,0.142,0.0172,5,0,0.0197,0.0044,5,0,0.0756,0.0069,5,0,3.7964,0.1735,5,0
114,4.823156887,-0.074981552,0.1295,0.0109,5,0,0.0273,0.004,5,0,0.1093,0.0105,5,0,3.5765,0.3428,5,0
115,4.886872709,0.045221296,0.3034,0.0357,5,0,0.0804,0.0142,5,0,0.397,0.0416,5,0,7.7142,0.7923,5,0
116,4.985417289,-1.390043464,0.2955,0.0077,5,0,0.0059,0.0005,5,0,0.0983,0.0037,5,0,,,,
117,5.033804599,0.141742885,0.1012,0.0246,5,0,0.0093,0.003,5,0,0.0147,0.0035,5,0,2.0351,0.303,5,0
118,5.037973341,0.143216887,0.1891,0.0385,5,0,0.0326,0.0058,5,0,0.0583,0.007,5,0,2.5206,0.3938,5,0
119,5.0482606,-0.194286952,0.8535,0.0957,5,0,0.3316,0.0436,5,0,2.2659,0.1977,5,0,25.9645,1.5686,5,0
120,5.06016756,-0.274515762,0.2139,0.0545,5,0,0.1824,0.0442,5,0,1.3988,0.145,5,0,14.0103,1.6047,5,0
121,5.065884093,-0.043484565,0.2742,0.0645,5,0,0.0705,0.0152,5,0,0.1328,0.0184,5,0,4.4648,0.4079,5,0
122,5.075599989,-0.093427428,0.3505,0.0364,5,0,0.0584,0.0158,5,0,0.5759,0.108,5,0,15.6009,4.0052,5,0
123,5.107032972,-0.107105488,0.4482,0.0437,5,0,0.1093,0.0246,5,0,0.8533,0.0861,5,0,11.8988,0.5962,5,0
124,5.175448497,0.233764397,3.0937,0.0664,5,0,0.8859,0.1897,5,0,3.8604,0.3802,5,0,1.0493,0.0961,5,0
125,5.186578979,-0.082574732,0.5335,0.4169,5,0,0.242,0.0212,5,0,2.7794,0.1137,2,0,35.1133,1.6246,5,0
126,5.190226579,-0.283771418,0.7438,0.1591,5,0,0.3776,0.0752,5,0,1.9594,0.7,5,0,34.8069,6.92,5,0
127,5.204252754,-0.036484591,0.4626,0.0336,5,0,0.1043,0.0186,5,0,2.5297,0.2292,5,0,25.1442,0.8891,5,0
128,5.305111102,-0.009479675,0.1875,0.0344,5,0,0.0468,0.0106,5,0,0.1103,0.0188,5,0,3.6298,0.435,5,0
129,5.305652796,0.066112394,0.3588,0.0095,5,0,0.0903,0.0127,5,0,0.3258,0.03,5,0,1.7688,0.1856,5,0
130,5.310109036,0.070987536,0.2778,0.0141,5,0,0.0643,0.0068,5,0,0.1638,0.0052,5,0,5.4607,0.4598,5,0
131,5.402021668,-0.271454444,0.5906,0.0727,5,0,0.3809,0.0336,5,0,2.1056,0.0765,2,0,13.6113,0.6058,5,0
132,5.475547599,-0.244474286,5.213,0.7518,5,0,,,,,,,,,291.0277,19.962,5,0
133,5.493276956,-0.103363093,0.2847,0.0514,5,0,0.0862,0.0195,5,0,0.2545,0.0447,5,0,12.0191,0.6786,5,0
134,5.528547726,0.139237553,0.1638,0.0279,5,0,0.0361,0.01,5,0,0.0671,0.0126,5,0,4.5331,0.2054,5,0
135,5.544084716,-0.213412428,0.6409,0.036,5,0,0.1751,0.021,5,0,0.5571,0.0405,5,0,19.5953,1.111,5,0
136,5.585344251,-0.379394949,1.2882,0.2465,5,0,0.2766,0.0688,5,0,0.9774,0.1741,5,0,37.0758,3.8548,5,0
137,5.590378474,-0.243614775,0.3986,0.0307,5,0,0.1338,0.0228,5,0,0.4946,0.0426,5,0,10.5631,0.8776,5,0
138,5.629761883,-0.292747463,1.3015,0.2181,5,0,0.3835,0.0898,5,0,2.8757,0.5135,5,0,91.3937,10.3686,5,0
139,5.63329979,0.239131249,8.9179,1.0014,5,0,1.2557,0.4161,5,0,,,,,250.6726,114.585,5,0
140,5.706008552,-0.12659597,0.7726,0.1923,5,0,0.2344,0.0606,5,0,0.3126,0.0915,5,0,17.547,3.9746,5,0
141,5.836503814,-0.513830094,1.5835,0.0535,5,0,0.2856,0.0332,5,0,4.1558,0.3642,5,0,41.0281,3.4989,5,0
142,5.841939895,-0.515627908,2.625,0.5704,5,0,0.4957,0.0692,5,0,1.6694,0.4512,5,0,31.9145,5.582,5,0
143,5.855313698,0.355007695,0.2398,0.0229,5,0,0.0874,0.0137,5,0,0.4508,0.0432,5,0,13.5273,2.2267,5,0
144,5.867890675,0.523250091,0.3052,0.0211,5,0,0.098,0.0098,5,0,0.1915,0.0134,5,0,5.0632,0.3442,5,0
145,5.882788179,-0.397958234,3.047,1.5677,5,0,,,,,,,,,2991.5947,1938.0676,5,0
146,5.885140712,-0.606357732,0.2112,0.0672,5,0,0.1709,0.0211,5,0,0.2852,0.033,5,0,3.6402,0.3304,5,0
147,5.892527991,-0.290668936,0.913,0.0243,5,0,0.1859,0.0329,5,0,1.1367,0.1608,5,0,40.0036,2.4616,5,0
148,5.897463646,-0.442152036,14.6898,1.5702,5,0,,,,,,,,,671.0813,30.8109,5,0
149,5.903745541,-0.357690434,2.1702,0.2792,5,0,0.7254,0.0912,5,0,3.8396,0.3535,5,0,43.5081,5.5323,5,0
150,5.905821677,0.094460989,0.2902,0.0636,5,0,0.0951,0.0221,5,0,0.1138,0.0233,5,0,7.3701,0.3783,5,0
151,5.931169918,-0.084324707,0.2956,0.0464,5,0,0.0358,0.0072,5,0,0.2567,0.0351,5,0,10.0784,0.4679,5,0
152,5.944591473,-0.137650249,2.1434,0.4561,5,0,0.4163,0.0979,5,0,0.7968,0.2853,5,0,33.8106,4.9474,5,0
153,6.044407915,0.316149179,1.5237,0.2114,5,0,0.5761,0.0296,5,0,3.0418,0.0932,5,0,49.3617,2.2393,5,0
154,6.126476068,-0.629668198,0.7247,0.1864,5,0,0.4109,0.068,5,0,4.4425,0.7156,5,0,77.0167,8.8356,5,0
155,6.157553195,-0.070844578,0.3519,0.0746,5,0,0.0591,0.0058,5,0,0.138,0.016,5,0,7.4248,0.9124,5,0
156,6.191131969,-0.363940912,2.0689,0.1169,5,0,0.4863,0.1158,5,0,3.4217,0.3581,5,0,27.3116,6.9743,5,0
157,6.218108049,-0.582879279,1.3006,0.0227,5,0,0.4988,0.083,5,0,2.8446,0.3243,5,0,20.0749,1.1174,5,0
158,6.222309787,-0.046731695,0.3659,0.0225,5,0,0.0868,0.017,5,0,0.4281,0.0457,5,0,16.6459,0.7794,5,0
159,6.259562786,-0.281795907,0.9443,0.0353,5,0,0.2969,0.0349,5,0,0.9652,0.0537,5,0,12.342,0.9221,5,0
160,6.344553133,-0.01274757,0.2352,0.0346,5,0,0.087,0.0192,5,0,0.5597,0.0712,5,0,5.9153,0.3202,5,0
161,6.3589344,-0.82353885,0.1209,0.0145,5,0,0.0804,0.0118,5,0,0.1782,0.0297,5,0,2.9548,0.4047,5,0
162,6.364533763,-0.053770888,3.6267,0.379,5,0,1.6212,0.2391,5,0,12.5932,0.8824,5,0,123.3921,15.779,5,0
163,6.552608318,-0.094379684,5.9667,0.9512,5,0,,,,,,,,,433.2568,86.6839,5,0
164,6.590317814,0.246113354,0.0949,0.011,5,0,0.0305,0.003,5,0,0.0377,0.0021,5,0,1.3735,0.0803,5,0
165,6.614399238,0.138618894,0.5489,0.0964,5,0,0.1906,0.0435,5,0,0.4678,0.0855,5,0,19.852,0.4858,5,0
166,6.786257719,0.226324163,0.2501,0.0476,5,0,0.1493,0.0305,5,0,0.4833,0.047,5,0,17.4669,1.3221,5,0
167,6.787389665,-0.018396582,0.0889,0.0178,5,0,0.0385,0.0048,5,0,0.1549,0.014,5,0,5.573,2.2424,5,0
168,6.824553309,-0.019487104,0.5143,0.0328,5,0,0.1781,0.0146,5,0,0.8686,0.0296,5,0,18.9991,1.0195,5,0
169,6.825967715,-0.221818604,0.4018,0.0346,5,0,0.097,0.0212,5,0,0.7227,0.0787,5,0,14.7402,0.9864,5,0
170,6.836510082,0.022060727,0.198,0.0402,5,0,0.056,0.0131,5,0,0.5327,0.0836,5,0,7.8081,0.4709,5,0
171,6.930741846,0.165749415,1.1134,0.1616,5,0,0.3902,0.0279,5,0,1.3745,0.0534,5,0,40.705,2.1348,5,0
172,6.978418431,-0.088710423,0.5416,0.046,5,0,0.1707,0.043,5,0,0.1948,0.0265,5,0,0.2764,0.1242,5,0
173,6.989129252,0.194013682,0.2244,0.0152,5,0,0.05,0.0108,5,0,0.2316,0.0233,5,0,4.9172,0.2235,5,0
174,7.009733881,0.734618826,0.2491,0.0444,5,0,0.0897,0.0179,5,0,0.4122,0.056,5,0,10.196,0.9646,5,0
175,7.011050311,-0.254626187,2.5695,0.8982,5,0,0.7207,0.2239,5,0,2.5723,0.6469,5,0,103.919,30.3054,5,0
176,7.014544598,-0.252183655,1.6827,0.2761,5,0,0.4697,0.0517,5,0,1.2891,0.155,5,0,26.1244,2.6399,5,0
177,7.033384943,0.725450634,0.6697,0.0458,5,0,0.1939,0.0402,5,0,2.1075,0.1995,5,0,16.385,0.3782,5,0
178,7.033511897,0.74870386,0.0742,0.0174,5,0,0.0536,0.0298,5,0,0.0832,0.0419,5,0,4.7577,1.9709,5,0
179,7.115920375,0.719917344,0.0744,0.0039,5,0,0.0254,0.0059,5,0,0.0447,0.0083,5,0,1.9076,0.2912,5,0
180,7.177079551,0.08488821,0.5316,0.0505,5,0,0.1821,0.0353,5,0,5.1648,0.6088,5,0,70.9744,2.8432,5,0
181,7.206223165,0.2423116,0.6677,0.247,5,0,0.3708,0.0796,5,0,2.3093,0.2239,5,0,45.3982,6.5024,5,0
182,7.256843434,0.566852566,0.1776,0.0267,5,0,0.073,0.0153,5,0,0.1265,0.0232,5,0,4.1068,0.3896,5,0
183,7.260670988,-0.51796226,0.1927,0.0437,5,0,0.0885,0.0228,5,0,0.1101,0.047,5,0,1.8461,0.496,5,0
184,7.262066215,-0.534141522,0.2448,0.0196,5,0,0.0897,0.0123,5,0,0.1676,0.0228,5,0,2.4369,0.352,5,0
185,7.265817792,0.184783361,0.63,0.0533,5,0,0.3411,0.064,5,0,4.8719,0.5282,5,0,87.2855,3.837,5,0
186,7.290237062,-0.174114524,3.2582,0.1815,5,0,0.8526,0.1244,5,0,1.9952,0.3001,5,0,35.6794,2.3328,5,0
187,7.31741907,0.034183738,0.1502,0.0385,5,0,0.0919,0.0107,5,0,0.479,0.0183,5,0,5.7825,0.5283,5,0
188,7.350849109,0.033894375,0.5868,0.0964,5,0,0.1866,0.0262,5,0,0.6075,0.0525,5,0,36.9236,4.9842,5,0
189,7.398654376,-0.160937868,0.4396,0.0034,5,0,0.0787,0.0123,5,0,0.2232,0.0154,5,0,4.2501,0.4904,5,0
190,7.420144697,0.366369688,0.4274,0.067,5,0,0.2434,0.0401,5,0,1.8573,0.2381,5,0,43.3193,2.9166,5,0
191,7.425853201,0.287364605,0.2069,0.0472,5,0,0.0709,0.0109,5,0,0.0957,0.0118,5,0,4.3517,0.3473,5,0
192,7.4379514,0.383050138,0.3279,0.0608,5,0,0.1536,0.036,5,0,1.9841,0.2292,5,0,18.6679,2.8723,5,0
193,7.446691362,-0.16217658,2.4021,0.0412,5,0,0.7085,0.1118,5,0,2.4765,0.2063,5,0,0.8946,0.0893,5,0
194,7.470070584,0.06384913,0.242,0.0815,5,0,0.0419,0.0185,5,0,,,,,38.9408,14.3452,5,0
195,7.470614498,0.058455446,1.4382,0.2019,5,0,0.4873,0.0401,5,0,,,,,287.3861,25.7448,5,0
196,7.473645483,0.063995476,0.5018,0.0627,5,0,0.1112,0.0177,5,0,,,,,63.1197,9.8659,5,0
197,7.475464812,0.611394844,0.2843,0.0257,5,0,0.0876,0.0178,5,0,0.6396,0.0677,5,0,12.6975,0.2728,5,0
198,7.506389888,0.401140318,0.7569,0.0703,5,0,0.2859,0.0795,5,0,3.0402,0.3496,5,0,78.1823,3.5274,5,0
199,7.508560734,-0.226505081,0.2237,0.0401,5,0,0.0594,0.0126,5,0,0.1624,0.0203,5,0,8.5183,1.1987,5,0
200,7.517189201,0.201433614,0.0945,0.0248,5,0,0.0524,0.012,5,0,0.0879,0.0159,5,0,3.1658,0.3558,5,0
201,7.525711934,0.390513112,1.5489,0.2064,5,0,0.6062,0.1225,5,0,2.6661,0.391,5,0,41.1043,3.0048,5,0
202,7.612391855,-0.109077866,0.5719,0.0503,5,0,0.1138,0.0264,5,0,0.5526,0.0706,5,0,21.022,2.2332,5,0
203,7.635780871,-0.149181457,0.6368,0.036,5,0,0.1287,0.0284,5,0,1.7819,0.179,5,0,30.9227,1.4182,5,0
204,7.650497464,-0.16241679,0.1997,0.0188,5,0,0.0523,0.0122,5,0,0.0948,0.0164,5,0,4.4552,0.5143,5,0
205,7.797451405,-0.123943169,0.5671,0.0548,5,0,0.1378,0.0275,5,0,0.7377,0.0861,5,0,21.7991,0.9834,5,0
206,7.816687341,-0.461466224,0.2787,0.0484,5,0,0.166,0.0398,5,0,0.6056,0.0995,5,0,23.1493,3.0566,5,0
207,7.927843615,-0.397589555,0.1516,0.0363,5,0,0.112,0.0262,5,0,0.4719,0.0878,5,0,10.9867,0.9132,5,0
