YB,YB_long,YB_lat,8umphotom,standard error 8,N8,EX8,12umphotom,standard error 12,N12,EX12,24umphotom,standard error 24,N24,EX24,70umphotom,standard error 70,N70,EX70
ID Number,degree,degree,Jy,error,count,excluded count,Jy,error,count,excluded count,Jy,error,count,excluded count,Jy,error,count,excluded count
3297,294.9744213,0.117886448,0.1892,0.0189,5,0,0.0991,0.0106,5,0,0.2529,0.0208,3,0,4.235,0.0986,5,0
3298,294.9839287,-0.53578572,0.6162,0.1192,5,0,0.3218,0.0445,5,0,1.8594,0.2832,5,0,33.0417,3.8861,5,0
3299,295.108368,-0.712751693,0.4157,0.0298,5,0,0.2142,0.0084,5,0,3.8476,0.0814,5,0,29.1922,0.8219,5,0
3300,295.1164614,-0.720454521,0.9083,0.1005,5,0,0.4921,0.0509,5,0,3.9041,0.1468,5,0,56.3377,3.1732,5,0
3301,295.1238324,-0.6738282,0.319,0.0071,5,0,0.1055,0.0075,5,0,0.6178,0.0135,5,0,14.9466,0.8488,5,0
3302,295.167568,-0.579030607,0.8702,0.1204,5,0,0.4696,0.0615,5,0,5.7672,0.3914,5,0,61.6649,3.1856,5,0
3303,295.175774,-0.573739143,3.3807,0.2476,5,0,1.4623,0.0818,5,0,13.3465,0.706,5,0,168.1916,6.5917,5,0
3304,295.1761567,0.126643571,0.5371,0.0573,5,0,0.2046,0.0288,5,0,0.2248,0.0364,5,0,5.1349,0.1334,5,0
3305,295.208746,-0.742875648,1.4559,0.1294,5,0,0.9784,0.0963,5,0,10.3359,0.2941,5,0,75.2597,2.045,5,0
3306,295.3452589,-0.797326607,1.6771,0.1768,5,0,0.4019,0.0949,5,0,0.8029,0.1273,5,0,46.1919,6.6554,5,0
3307,295.3718295,-0.719945746,0.1132,0.008,5,0,0.0547,0.0051,5,0,0.0965,0.0099,5,0,1.3728,0.1319,5,0
3308,295.4239718,0.043273606,0.0162,0.0017,5,0,0.006,0.0005,5,0,0.0306,0.0021,5,0,0.2387,0.0379,5,0
3309,295.5298798,-0.692774624,0.0862,0.0047,5,0,0.0344,0.0053,5,0,0.0379,0.0024,5,0,0.8132,0.0784,5,0
3310,295.5820104,-0.333153037,0.0236,0.0041,5,0,0.0128,0.002,5,0,0.0185,0.002,5,0,0.2219,0.0779,5,0
3311,295.5916456,-0.342143215,0.1202,0.0183,5,0,0.0527,0.0116,5,0,0.0714,0.0127,5,0,0.6148,0.0834,5,0
3312,295.6699831,-0.937785239,0.6762,0.0839,5,0,0.257,0.0183,5,0,0.2595,0.0259,5,0,6.8045,0.3211,5,0
3313,295.726553,-0.297202298,0.1404,0.0252,5,0,0.0431,0.0071,5,0,0.0533,0.0106,5,0,2.3499,0.0736,5,0
3314,295.7489377,-0.207555006,4.5556,0.3875,5,0,2.197,0.2096,5,0,9.6149,0.507,5,0,121.8529,10.7658,5,0
3315,295.8458827,-0.21144351,0.1275,0.0119,5,0,0.0413,0.0047,5,0,0.0728,0.0055,5,0,3.6452,0.2581,5,0
3316,295.8505214,-0.118606919,1.3106,0.0449,5,0,0.4279,0.036,5,0,1.1937,0.052,5,0,25.9466,1.2414,5,0
3317,295.917406,-0.185650816,0.1116,0.0132,5,0,0.0457,0.0032,5,0,0.0949,0.0035,5,0,1.6669,0.1105,5,0
3318,296.0004809,-0.941249342,0.3159,0.0027,5,0,0.1158,0.0059,5,0,0.5036,0.0087,5,0,5.5125,0.1552,5,0
